epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,7976.83,1.11954,2.30689,0.70466,1.14144,0.93958,0.93327,0.97242,0.70016,0.90631,0.88071,0.92621,0.50386,1.00177,2.06046,0.5887,1.11128,0.000512828,0.000512828,0.000512828
30,8222.63,1.11743,2.30528,0.70585,1.13974,0.93962,0.93875,0.97256,0.70045,0.90586,0.88536,0.92418,0.50396,1.00172,2.05122,0.59275,1.11115,0.000505243,0.000505243,0.000505243
31,8467.4,1.11317,2.28264,0.69781,1.13786,0.94535,0.93775,0.97392,0.70464,0.90958,0.89014,0.93027,0.5066,0.9957,2.06101,0.57443,1.1046,0.000497471,0.000497471,0.000497471
32,8714.22,1.11471,2.29478,0.69741,1.13571,0.94056,0.93955,0.97381,0.70122,0.90439,0.89249,0.92986,0.50123,1.00067,2.06085,0.5797,1.10788,0.00048952,0.00048952,0.00048952
33,8958.76,1.10255,2.27426,0.68511,1.13016,0.9482,0.93876,0.97451,0.70809,0.91389,0.8901,0.93008,0.51018,0.98758,2.03812,0.57404,1.10041,0.000481396,0.000481396,0.000481396
34,9203.32,1.10241,2.26576,0.68702,1.1287,0.94977,0.94089,0.9752,0.70619,0.91343,0.8915,0.93143,0.51493,0.98548,2.02868,0.57042,1.09796,0.00047311,0.00047311,0.00047311
35,9449.86,1.09374,2.25175,0.68294,1.12577,0.94479,0.94316,0.97462,0.70716,0.90291,0.89501,0.92919,0.50942,0.99067,2.02978,0.5691,1.1002,0.000464668,0.000464668,0.000464668
36,9698.97,1.09432,2.25447,0.67774,1.12396,0.94376,0.94179,0.97584,0.71002,0.90829,0.89001,0.93251,0.51465,0.98083,2.01256,0.56963,1.09658,0.000456078,0.000456078,0.000456078
37,9947.53,1.09216,2.24795,0.6746,1.12398,0.94909,0.94538,0.97626,0.71105,0.91367,0.89835,0.93404,0.51662,0.97637,2.00906,0.56071,1.09601,0.00044735,0.00044735,0.00044735
38,10194.4,1.08527,2.23748,0.66772,1.11916,0.94976,0.94317,0.97627,0.70936,0.91225,0.89532,0.93227,0.51334,0.97976,2.00934,0.56669,1.09476,0.000438493,0.000438493,0.000438493
39,10441.4,1.08069,2.22268,0.66271,1.11855,0.94324,0.94114,0.97428,0.71116,0.91113,0.89103,0.93065,0.519,0.97294,2.01004,0.56678,1.09611,0.000429514,0.000429514,0.000429514
40,10686.5,1.08025,2.23695,0.66346,1.1178,0.9492,0.94261,0.97577,0.7107,0.91714,0.89286,0.93251,0.51482,0.97866,2.00015,0.56039,1.09309,0.000420422,0.000420422,0.000420422
